run,run_short,raw_step,effective_step,metric,value
Pure Stage1 beta=0.1,stage1,34,34,response length mean,352.46875
Pure Stage1 beta=0.1,stage1,34,34,response clip ratio,0.009765625
Pure Stage1 beta=0.1,stage1,34,34,rollout correct ratio,0.599609375
Pure Stage1 beta=0.1,stage1,34,34,actor grad norm,32.37046432495117
Pure Stage1 beta=0.1,stage1,35,35,response length mean,311.47265625
Pure Stage1 beta=0.1,stage1,35,35,response clip ratio,0.005859375
Pure Stage1 beta=0.1,stage1,35,35,rollout correct ratio,0.435546875
Pure Stage1 beta=0.1,stage1,35,35,actor grad norm,37.66281509399414
Pure Stage1 beta=0.1,stage1,36,36,response length mean,359.17578125
Pure Stage1 beta=0.1,stage1,36,36,response clip ratio,0.00390625
Pure Stage1 beta=0.1,stage1,36,36,rollout correct ratio,0.603515625
Pure Stage1 beta=0.1,stage1,36,36,actor grad norm,40.703433990478516
Pure Stage1 beta=0.1,stage1,37,37,response length mean,343.69140625
Pure Stage1 beta=0.1,stage1,37,37,response clip ratio,0.0078125
Pure Stage1 beta=0.1,stage1,37,37,rollout correct ratio,0.544921875
Pure Stage1 beta=0.1,stage1,37,37,actor grad norm,31.352739334106445
Pure Stage1 beta=0.1,stage1,38,38,response length mean,342.98046875
Pure Stage1 beta=0.1,stage1,38,38,response clip ratio,0.00390625
Pure Stage1 beta=0.1,stage1,38,38,rollout correct ratio,0.46875
Pure Stage1 beta=0.1,stage1,38,38,actor grad norm,46.078922271728516
Pure Stage1 beta=0.1,stage1,39,39,response length mean,326.12109375
Pure Stage1 beta=0.1,stage1,39,39,response clip ratio,0.001953125
Pure Stage1 beta=0.1,stage1,39,39,rollout correct ratio,0.591796875
Pure Stage1 beta=0.1,stage1,39,39,actor grad norm,41.75464630126953
Pure Stage1 beta=0.1,stage1,40,40,response length mean,320.263671875
Pure Stage1 beta=0.1,stage1,40,40,response clip ratio,0.0
Pure Stage1 beta=0.1,stage1,40,40,rollout correct ratio,0.494140625
Pure Stage1 beta=0.1,stage1,40,40,actor grad norm,32.48411560058594
Pure Stage1 beta=0.1,stage1,41,41,response length mean,477.2265625
Pure Stage1 beta=0.1,stage1,41,41,response clip ratio,0.015625
Pure Stage1 beta=0.1,stage1,41,41,rollout correct ratio,0.6015625
Pure Stage1 beta=0.1,stage1,41,41,actor grad norm,35.49158477783203
Pure Stage1 beta=0.1,stage1,42,42,response length mean,421.025390625
Pure Stage1 beta=0.1,stage1,42,42,response clip ratio,0.021484375
Pure Stage1 beta=0.1,stage1,42,42,rollout correct ratio,0.59375
Pure Stage1 beta=0.1,stage1,42,42,actor grad norm,29.770143508911133
Pure Stage1 beta=0.1,stage1,43,43,response length mean,368.794921875
Pure Stage1 beta=0.1,stage1,43,43,response clip ratio,0.015625
Pure Stage1 beta=0.1,stage1,43,43,rollout correct ratio,0.47265625
Pure Stage1 beta=0.1,stage1,43,43,actor grad norm,34.63686752319336
Pure Stage1 beta=0.1,stage1,44,44,response length mean,364.1875
Pure Stage1 beta=0.1,stage1,44,44,response clip ratio,0.01171875
Pure Stage1 beta=0.1,stage1,44,44,rollout correct ratio,0.6328125
Pure Stage1 beta=0.1,stage1,44,44,actor grad norm,30.832670211791992
Pure Stage1 beta=0.1,stage1,45,45,response length mean,310.947265625
Pure Stage1 beta=0.1,stage1,45,45,response clip ratio,0.0
