run,run_short,lambda,raw_step,effective_step,metric,value
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,50,90,response length mean,1686.466796875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,51,91,rollout correct ratio,0.224609375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,51,91,response length mean,2109.0390625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,52,92,rollout correct ratio,0.21875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,52,92,response length mean,2109.52734375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,53,93,rollout correct ratio,0.181640625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,53,93,response length mean,2327.8515625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,54,94,rollout correct ratio,0.1875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,54,94,response length mean,2572.607421875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,55,95,HumanEval+ extraction fail,0.6097560975609756
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,55,95,MBPP+ extraction fail,0.5502645502645502
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,55,95,LiveCodeBench extraction fail,0.921875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,55,95,rollout correct ratio,0.1875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,55,95,response length mean,2343.06640625
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,56,96,rollout correct ratio,0.169921875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,56,96,response length mean,2535.37109375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,57,97,rollout correct ratio,0.125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,57,97,response length mean,3060.599609375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,58,98,rollout correct ratio,0.1328125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,58,98,response length mean,3110.73828125
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,59,99,rollout correct ratio,0.099609375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,59,99,response length mean,3292.68359375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,60,100,HumanEval+ extraction fail,0.8109756097560976
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,60,100,MBPP+ extraction fail,0.7698412698412699
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,60,100,LiveCodeBench extraction fail,0.96875
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,60,100,rollout correct ratio,0.09375
Stage2 fresh P40 lambda=0.6,fresh-lambda0.6,0.6,60,100,response length mean,3236.00390625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,0,40,HumanEval+ extraction fail,0.03048780487804878
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,0,40,MBPP+ extraction fail,0.007936507936507936
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,0,40,LiveCodeBench extraction fail,0.2890625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,1,41,rollout correct ratio,0.51171875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,1,41,response length mean,366.6875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,2,42,rollout correct ratio,0.646484375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,2,42,response length mean,307.796875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,3,43,rollout correct ratio,0.466796875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,3,43,response length mean,485.9765625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,4,44,rollout correct ratio,0.53125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,4,44,response length mean,350.828125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,5,45,HumanEval+ extraction fail,0.036585365853658534
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,5,45,MBPP+ extraction fail,0.015873015873015872
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,5,45,LiveCodeBench extraction fail,0.296875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,5,45,rollout correct ratio,0.46484375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,5,45,response length mean,427.951171875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,6,46,rollout correct ratio,0.431640625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,6,46,response length mean,446.884765625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,7,47,rollout correct ratio,0.4609375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,7,47,response length mean,355.57421875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,8,48,rollout correct ratio,0.5234375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,8,48,response length mean,422.689453125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,9,49,rollout correct ratio,0.572265625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,9,49,response length mean,400.375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,10,50,HumanEval+ extraction fail,0.036585365853658534
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,10,50,MBPP+ extraction fail,0.023809523809523808
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,10,50,LiveCodeBench extraction fail,0.265625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,10,50,rollout correct ratio,0.548828125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,10,50,response length mean,465.5078125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,11,51,rollout correct ratio,0.513671875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,11,51,response length mean,425.857421875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,12,52,rollout correct ratio,0.55859375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,12,52,response length mean,334.396484375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,13,53,rollout correct ratio,0.5390625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,13,53,response length mean,430.796875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,14,54,rollout correct ratio,0.5078125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,14,54,response length mean,385.62890625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,15,55,HumanEval+ extraction fail,0.036585365853658534
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,15,55,MBPP+ extraction fail,0.013227513227513227
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,15,55,LiveCodeBench extraction fail,0.3828125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,15,55,rollout correct ratio,0.59375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,15,55,response length mean,402.318359375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,16,56,rollout correct ratio,0.51953125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,16,56,response length mean,435.626953125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,17,57,rollout correct ratio,0.484375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,17,57,response length mean,346.37109375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,18,58,rollout correct ratio,0.525390625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,18,58,response length mean,597.654296875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,19,59,rollout correct ratio,0.60546875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,19,59,response length mean,534.392578125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,20,60,HumanEval+ extraction fail,0.024390243902439025
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,20,60,MBPP+ extraction fail,0.023809523809523808
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,20,60,LiveCodeBench extraction fail,0.3671875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,20,60,rollout correct ratio,0.44921875
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,20,60,response length mean,545.11328125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,21,61,rollout correct ratio,0.59375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,21,61,response length mean,358.83984375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,22,62,rollout correct ratio,0.556640625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,22,62,response length mean,429.271484375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,23,63,rollout correct ratio,0.4765625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,23,63,response length mean,603.224609375
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,24,64,rollout correct ratio,0.501953125
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,24,64,response length mean,573.5625
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,25,65,HumanEval+ extraction fail,0.024390243902439025
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,25,65,MBPP+ extraction fail,0.023809523809523808
Stage2 fresh P40 lambda=0.7,fresh-lambda0.7,0.7,25,65,LiveCodeBench extraction fail,0.296875
